token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5,0xd06dc8eec9a551a2788f64639b70dced3e992c4c,0xf4314d04265ca126bb14528eb742000e6573ab15,25647261000000000,0x8d6eecd97bd6dd107e7b06bbba4b26c08a4b82948636c310cd40d669be8318c3,28,760124
0xae9269f27437f0fcbc232d39ec814844a51d6b8f,0xf4314d04265ca126bb14528eb742000e6573ab15,0x86a327715d707bca24983b1145d1f6c40c5d4a74,45571666826815083,0x8d6eecd97bd6dd107e7b06bbba4b26c08a4b82948636c310cd40d669be8318c3,31,760124
0xae9269f27437f0fcbc232d39ec814844a51d6b8f,0x86a327715d707bca24983b1145d1f6c40c5d4a74,0x9154c2684aef8d106babcb19aa81d4fabf7581ec,11392916706703771,0x8d6eecd97bd6dd107e7b06bbba4b26c08a4b82948636c310cd40d669be8318c3,37,760124
0xae9269f27437f0fcbc232d39ec814844a51d6b8f,0x86a327715d707bca24983b1145d1f6c40c5d4a74,0x0000000000000000000000000000000000000000,11392916706703771,0x8d6eecd97bd6dd107e7b06bbba4b26c08a4b82948636c310cd40d669be8318c3,39,760124
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xa5e6519e1623547b7c6b1ec8f0f4f918bbace5dd,0x7ac55ac530f2c29659573bde0700c6758d69e677,1810636339761716,0x8d6eecd97bd6dd107e7b06bbba4b26c08a4b82948636c310cd40d669be8318c3,41,760124
0xae9269f27437f0fcbc232d39ec814844a51d6b8f,0x7ac55ac530f2c29659573bde0700c6758d69e677,0x86a327715d707bca24983b1145d1f6c40c5d4a74,49086730821601207,0x8d6eecd97bd6dd107e7b06bbba4b26c08a4b82948636c310cd40d669be8318c3,44,760124
0xae9269f27437f0fcbc232d39ec814844a51d6b8f,0x86a327715d707bca24983b1145d1f6c40c5d4a74,0x9154c2684aef8d106babcb19aa81d4fabf7581ec,12271682705400302,0x8d6eecd97bd6dd107e7b06bbba4b26c08a4b82948636c310cd40d669be8318c3,51,760124
0xae9269f27437f0fcbc232d39ec814844a51d6b8f,0x86a327715d707bca24983b1145d1f6c40c5d4a74,0x0000000000000000000000000000000000000000,12271682705400302,0x8d6eecd97bd6dd107e7b06bbba4b26c08a4b82948636c310cd40d669be8318c3,53,760124
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,0x0000000000000000000000000000000000000000,0xb9fa21a62fc96cb2ac635a051061e2e50d964051,38947368421052631578,0xd315951678432e950f152d9c9d53c8f942f27177c6c3ed57153e065c614e3995,56,760124
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,0x0000000000000000000000000000000000000000,0x009cf7bc57584b7998236eff51b98a168dcea9b0,389473684210526315789,0xd315951678432e950f152d9c9d53c8f942f27177c6c3ed57153e065c614e3995,57,760124
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,0x009cf7bc57584b7998236eff51b98a168dcea9b0,0x42b45a385788e0a9551a2bb9f511080464595abb,8505672774314803893,0xd315951678432e950f152d9c9d53c8f942f27177c6c3ed57153e065c614e3995,58,760124
0xa527a61703d82139f8a06bc30097cc9caa2df5a6,0x73feaa1ee314f8c655e354234017be2193c9e24e,0x42b45a385788e0a9551a2bb9f511080464595abb,1430081394856195091628,0xd315951678432e950f152d9c9d53c8f942f27177c6c3ed57153e065c614e3995,59,760124
0xe02df9e3e622debdd69fb838bb799e3f168902c5,0x87fc1313880d579039ac48db8b25428ed5f33c4a,0xc2eed0f5a0dc28cfa895084bc0a9b8b8279ae492,6542528896000633053,0x48e327a0a33dcaea63c0edf7289fbd2a1c82f865000ccc2d989b19311ad7aa0f,61,760124
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xc2eed0f5a0dc28cfa895084bc0a9b8b8279ae492,0x559e3d9611e9cb8a77c11335bdac49621382188b,19494740781341846,0x48e327a0a33dcaea63c0edf7289fbd2a1c82f865000ccc2d989b19311ad7aa0f,63,760124
0xe9e7cea3dedca5984780bafc599bd69add087d56,0x559e3d9611e9cb8a77c11335bdac49621382188b,0x87fc1313880d579039ac48db8b25428ed5f33c4a,460120730776810608,0x48e327a0a33dcaea63c0edf7289fbd2a1c82f865000ccc2d989b19311ad7aa0f,66,760124
