address,symbol,name,decimals,total_supply,block_number
0x6330c052e35f23ad219ad9afbaddf53a68f2b2b2,BLP,BSCswap LP Token,18,168108181012217044833,
0x6112f646ad99fdf8331f94d514d3d4a4402ea825,TLP,TunaSwap LP Token,18,40674012751777548691161,
0x62cf161ab22b5cd4f7e761a81e5bdedd08183875,xBAMBOO,BambooBar,18,25370348251251139483585,
0x6400fc983a1b79aaa916c9b1cbffb1c8fe0c6fb0,RPC,Royal Persian Carpet Token,18,100000000000000000020000000,
0x654456f62510eabf663515f5b7df93b096bb7042,SAFU,SAFU Token,18,510000000000000000000000,
0x6a1cd7377c7b2fd42151c93206af5089b4658372,BAMBOO,BambooToken,18,178549411237814386625535428,
0x6e218ea042bef40a8baf706b00d0f0a7b4fce50a,BLP,Bakery LPs,18,1228333949281660452696006,
0x658a109c5900bc6d2357c87549b651670e5b0539,FOR,The Force Token,18,99999999999999999999999999,
0x69dc95d1ae562e0701156ead9938d73926239f59,BLP,BSCswap LP Token,18,40971226923706999,
0x7270fd3bfe698db8be63b9e63c28fa0bcb3aed8c,BLP,BSCswap LP Token,18,125208956027344228888,
0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,Polkadot Token,18,7500000000000000000000000,
0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,BTCB Token,18,29501000000000000000000,
0x732b6620d3469204bcc6f44c0b40cd8c4bafc747,BAKEDESTROY,Bakery Destroy Token,18,10000000000000000000000,
0x75b46ca5bb3e0a70d937ac392dcd318dbfef1199,BPT,BSCswap Pro Pool Token,18,100000000000000000000,
0x7687ccf12c424a4dd3eebde09809e3e38c883faf,JEO,Jeo Exchange,18,300000000000000000000000,
0x78e1936f065fd4082387622878c7d11c9f05ecf4,JNTR/b,JNTR/b,18,873506217396904219500000,
0x784b8124d04d6ff5c5ecf234b5679f72a4527665,BLP,BSCswap LP Token,18,23590976280355493,
0x825f564242e923c005e7de43c685036c948682ee,BLP,BnEX LP Token,18,301784666088785,
0x7f70642d88cf1c4a3a7abb072b53b929b653eda5,YFII,YFII.finance Token,18,2500000000000000000000,
0x81d0246a66f5ca08accd8f508921e7561f43ee2d,BLP,BambooSwap LP Token,18,35255345349837042328735,
0x82d6ac355b178884e6aafdeaa6b5e1175d57fce6,DEFI,DEFI,18,100000000000000000000000,
0x852783ef7189b2fc4a6ca550db79b7996e3432d4,BLP,BSCswap LP Token,18,270656114691388811465,
0x83034714666b0eb2209aafc1b1cbb2ab9c6100db,,,18,35454045783698581984,
0x85603beac09ddf71d3301b7cce57e0a6a857e9a0,STLP,Stormswap LP Token,18,214453505989822094252,
0x8ccdba35c3e3c6ce513b4cb058c1cf2f9befc9b3,fEOS,ForTube EOS,18,134323310613442541586136,
0x85c34dfbf9105048bcbf4aa6fad9f8e5ae727c3d,Cake-LP,Pancake LPs,18,136626674038093460761,
0x8cc7e2a6de999758499658bb702143fd025e09b2,crLTC,Cream Litecoin Token,8,16344192426546,
0x8d0e18c97e5dd8ee2b539ae8cd3a3654df5d79e5,bWETH,Wrapped Ether,18,25121729955666094471,
0x8e3072f212662d2ec11fad8379b87da694d1178e,BLP,BambooSwap LP Token,18,227380936199124862120,
0x8e9f5173e16ff93f81579d73a7f9723324d6b6af,MILK,Milk Protocol,18,13292000000000000000000,
0x9435e4b80faa75e2ec770d134dcea1b590a4e6fb,fXTZ,ForTube XTZ,18,73195870757948784119033,
0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,BCH,Bitcoin Cash Token,18,55000000000000000000000,
0x94b819acbe5e72a8828a7de0218b6916410f6243,STLP,Stormswap LP Token,18,4198919250753223857,
0x9086c38d86509d61c9ae4845aad7019daa2de48c,COW,StakeCow.com,,147,
0x981d2ba1b298888408d342c39c2ab92e8991691e,Cake-LP,Pancake LPs,18,171812157459230959549992,
0x99c5a2fcc97b59fe6d0b56e21e72b002f644123f,anyUNI,Uniswap-BEP20,18,506198125317246521000,
0x95500cf154c59034264295831b82677b9842f38a,EPT,Equator Pool Token,18,58799237842157314473,
0x9af907fee40df1fb0bbe5cf00518e7caa5558760,BLP,BSCswap LP Token,18,4846814363057975312,
0x9ce6a8ba68a305e6e2ddac46203f4503fd3b4547,STLP,Stormswap LP Token,18,4135096936847889772,
0x9b1747e724d7518483cc2dd51bbd6e4aaeaf8caa,FCNT,Final.Fi,18,998530401357389670702806,
0x9b44df3318972be845d83f961735609137c4c23c,PROPEL,Propel,18,8000000000000000000000000000,
0x9b511f680282f90b6cb942c567c3fa79af108814,MFI,Marshmallow Finance,8,1000000000000,
0x9f7258c44fae44fba6ce6652e9b6d3b41cb16873,BLP,BambooSwap LP Token,18,7484845309779799695,
0xa50b9c5db61c855d5939aa1a66b26df77745809b,BLP,Bakery LPs,18,632899106790394992059,
